A,C,D
0.589305809483,2.66e45,2.35e44
0.281835212827,3.99e43,1.56e43
0.156123059884,3.69e44,1.90e44
0.391727116072,3.47e45,1.28e43
1.5299682248,5.48e43,4.06e43
0.179344926967,1.28e45,5.92e43
0.456956251838,6.45e44,4.22e43
0.216112000159,9.77e43,8.90e43
1.28785797912,3.95e44,4.37e43
14.4037492154,5.36e44,4.45343
0.197198632247,2.81e43,5.23e43
0.518684822856,2.01e45,3.7e44
0.18657978743,8.19e45,7.33e44
0.251867814481,1.66e44,3.06e43
0.61252625551,7.28e44,5.35e43
0.0727951398905,1.18e45,3.47e44
0.826102261372,1.78e44,1.52e44
0.247466385466,1.57e45,3.99e44
0.0934188377299,2.07e45,4.85e44
0.950570220047,1.48e45,1.82e44
9.50353635061,1.12e45,6.22e43
0.457643354167,9.34e44,1.25e44
0.512661278013,6.98e44,1.16e44
1.33115640777,4.11e44,1.82e44
0.253411523157,4.19e45,5.80e44
0.378211963585,2.81e44,1.44e44
0.26156453166,2.93e45,5.11e44
0.410287940216,8.02e44,5.17e43
1.23866803462,7.05e44,1.77e44
0.419052106761,5.36e44,4.45e43
0.729484359749,1.91e45,4.41e44
0.183715181535,8.01e43,8.02e43
0.262367233834,1.63e45,9.07e43
0.839896175287,1.32e45,3.76e44
0.218335564892,1.01e45,5.54e43
0.297237562695,6.82e44,3.90e44
0.383292403902,1.58e44,3.66e43
1.00526100455,4.69e44,2.25e44
0.124331925792,6.73e44,6.35e44
0.389776569913,1.19e44,1.81e44
0.359665285554,8.45e44,4.69e43
1.78254195914,2.03e45,3.18e44
0.220436135596,2.26e44,2.27e44
0.245100454192,9.33e44,9.22e43
0.108757699368,1.98e45,1.96e44
0.617274877691,4.85e45,5.90e44
0.159126003051,2.94e44,1.17e44
0.0948283494339,3.45e44,1.09e44
92.2132556621,7.25e44,2.72e44
0.101819894707,1.59e45,1.18e44
0.986991523248,3.34e45,1.23e44
0.362974630136,1.19e45,2.87e44
0.189068114008,1.52e44,3.65e43
0.523181278463,9.22e45,4.57e44
1.41722167734,1.47e45,1.37e44
0.160224303461,2.43e44,2.69e43
0.47642144321,3.99e45,6.26e44
1.03595039481,1.34e46,1.15e45
0.297743253702,2.24e44,3.72e43
0.371207878129,1.83e45,2.75e44
0.648853605577,1.83e45,8.44e43
0.552264264226,1.57e45,7.28e43
0.610336297923,3.47e45,9.61e43
1.77283812616,4.96e44,9.64e43
0.333130732293,2.89e44,7.87e43
0.227290874281,1.76e45,1.63e44
0.214806907959,1.18e45,5.45e43
0.296195635264,1.82e44,3.36e43
0.297004961985,5.56e44,5.12e43
0.346185819444,9.08e44,5.85e43
0.184894826635,5.44e44,1.10e44
0.178558031324,8.59e44,3.95e43
0.58356319453,5.84e44,4.84e43
0.646706937419,2.07e45,7.69e43
0.262367233834,1.41e45,5.23e43
0.839896175287,3.38e44,3.12e43
0.218335564892,9.04e44,3.34e43
1.00526100455,1.32e43,5.22e43
0.124331925792,2.89e44,8.75e43
0.389776569913,6.62e44,2.14e44
1.78254195914,4.59e44,4.64e43
0.220436135596,2.73e44,3.28e43
0.245100454192,1.01e45,5.65e43
0.108757699368,2.20e45,8.13e43
0.617274877691,4.22e44,1.78e44
0.159126003051,5.85e43,7.93e43
0.0948283494339,5.17e44,1.31e44
0.101819894707,1.07e45,5.97e43
1.78414507666,1.48e45,1.32e44
0.151232126266,3.18e44,4.10e43
0.0991770432135,8.92e44,1.23e44
0.163497847774,3.46e44,1.95e43
0.409373030149,9.01e44,4.97e43
1.50069829407,6.52e44,7.80e43
,1.02e45,5.66e43
,3.11e44,1.34e44
